term_id,term_str,n,stop
776,lion,89,0
777,pharisees,89,0
778,riches,89,0
779,saints,89,0
780,consumed,89,0
781,liveth,88,0
782,sware,88,0
783,loved,88,0
784,esau,88,0
785,harlot,87,0
786,ass,87,0
787,increase,87,0
788,sound,87,0
789,threescore,87,0
790,shekels,87,0
791,established,87,0
792,thither,87,0
793,atonement,87,0
794,suffer,87,0
795,hate,87,0
796,declare,87,0
797,remnant,87,0
798,matter,86,0
799,thereon,86,0
800,jehoshaphat,86,0
801,garment,85,0
802,reproach,85,0
803,heed,85,0
804,standing,85,0
805,refuge,85,0
806,breadth,85,0
807,peaceofferings,85,0
808,continually,85,0
809,draw,85,0
810,prepared,85,0
811,journeyed,85,0
812,sign,85,0
813,fourth,84,0
814,rich,84,0
815,led,84,0
816,wait,84,0
817,army,83,0
818,whereof,83,0
819,never,83,0
820,lamb,83,0
821,taketh,83,0
822,straightway,83,0
823,brake,82,0
824,length,82,0
825,souls,82,0
826,greatly,82,0
827,hide,82,0
828,faithful,82,0
829,daniel,82,0
830,song,81,0
831,bed,81,0
832,trust,81,0
833,follow,81,0
834,trouble,81,0
835,labor,80,0
836,tenth,80,0
837,mothers,80,0
838,sleep,80,0
839,pit,80,0
840,understand,80,0
841,wash,80,0
842,precious,80,0
843,eight,80,0
844,bowed,80,0
845,burntofferings,80,0
846,messengers,79,0
847,early,79,0
848,fulfilled,79,0
849,blind,79,0
850,clothes,79,0
851,flocks,79,0
852,true,79,0
853,howbeit,79,0
854,others,78,0
855,vision,78,0
856,behind,78,0
857,guard,78,0
858,sold,78,0
859,bringeth,78,0
860,rod,78,0
861,prey,78,0
862,abomination,77,0
863,everlasting,77,0
864,greater,77,0
865,skin,77,0
866,rams,77,0
867,testimony,77,0
868,measure,77,0
869,rule,76,0
870,top,76,0
871,dealt,76,0
872,hair,76,0
873,captive,76,0
874,signs,76,0
875,abroad,76,0
876,branches,75,0
877,rulers,75,0
878,church,75,0
879,burden,75,0
880,committed,75,0
881,smitten,75,0
882,selah,75,0
883,sacrifices,75,0
884,abominations,75,0
885,loveth,74,0
886,reuben,74,0
887,dream,74,0
888,chaldeans,74,0
889,levi,74,0
890,dry,74,0
891,served,74,0
892,womb,74,0
893,blemish,74,0
894,wings,74,0
895,eleazar,73,0
896,except,73,0
897,gad,73,0
898,affliction,73,0
899,speaking,73,0
900,kindled,73,0
901,eternal,73,0
902,last,73,0
903,doors,73,0
904,passover,73,0
905,moved,72,0
906,burnt,72,0
907,youth,72,0
908,trees,72,0
909,hillcountry,72,0
910,whence,72,0
911,hebron,72,0
912,arm,71,0
913,wept,71,0
914,wast,71,0
915,prepare,71,0
916,simon,71,0
917,beside,71,0
918,exalted,71,0
919,golden,71,0
920,syria,71,0
921,healed,70,0
922,sitting,70,0
923,tidings,70,0
924,cover,70,0
925,speaketh,70,0
926,acts,70,0
927,lebanon,70,0
928,worthy,70,0
929,galilee,70,0
930,watch,70,0
931,bethel,70,0
932,appeared,70,0
933,forsaken,70,0
934,white,69,0
935,blessing,69,0
936,nevertheless,69,0
937,loins,69,0
938,noise,69,0
939,dan,69,0
940,rent,69,0
941,desolation,69,0
942,company,68,0
943,pour,68,0
944,scattered,68,0
945,neck,68,0
946,vineyard,68,0
947,crown,68,0
948,villages,68,0
949,adversaries,68,0
950,taught,68,0
951,cease,68,0
952,observe,68,0
953,exceeding,68,0
954,killed,68,0
955,deal,67,0
956,ox,67,0
957,feed,67,0
958,walls,67,0
959,horns,67,0
960,worshipped,67,0
961,abundance,67,0
962,feared,67,0
963,judged,67,0
964,ruler,67,0
965,table,67,0
966,thousands,67,0
967,cup,67,0
968,wrote,67,0
969,today,66,0
970,scribes,66,0
971,shechem,66,0
972,read,66,0
973,devour,66,0
974,sanctify,65,0
975,season,65,0
976,hither,65,0
977,nay,65,0
978,few,65,1
979,male,65,0
980,abimelech,65,0
981,cursed,65,0
982,rather,65,0
983,vanity,65,0
984,faces,65,0
985,sheol,65,0
986,troubled,65,0
987,deep,65,0
988,lords,64,0
989,west,64,0
990,false,64,0
991,cherubim,64,0
992,grass,64,0
993,jericho,64,0
994,dost,63,0
995,seventy,63,0
996,handmaid,63,0
997,authority,63,0
998,doings,63,0
999,consider,63,0
1000,hurt,63,0
1001,establish,63,0
1002,household,63,0
1003,delight,63,0
1004,once,63,1
1005,syrians,63,0
1006,height,63,0
1007,tents,62,0
1008,abner,62,0
1009,pleasure,62,0
1010,zedekiah,62,0
1011,clothed,62,0
1012,upright,62,0
1013,divided,62,0
1014,run,62,0
1015,ashamed,62,0
1016,fail,62,0
1017,harvest,62,0
1018,edge,62,0
1019,teaching,62,0
1020,lead,62,0
1021,multitudes,61,0
1022,afterward,61,0
1023,upward,61,0
1024,devoured,61,0
1025,baal,61,0
1026,trumpet,61,0
1027,foolish,61,0
1028,always,61,0
1029,escape,61,0
1030,endureth,60,0
1031,mingled,60,0
1032,burning,60,0
1033,balaam,60,0
1034,fought,60,0
1035,journey,60,0
1036,amen,60,0
1037,violence,60,0
1038,unleavened,60,0
1039,asa,60,0
1040,fool,60,0
1041,choose,60,0
1042,damascus,60,0
1043,lived,60,0
1044,amorites,60,0
1045,inherit,60,0
1046,streets,59,0
1047,rivers,59,0
1048,haste,59,0
1049,pleased,59,0
1050,free,59,0
1051,abode,59,0
1052,shouldest,59,0
1053,nebuchadnezzar,59,0
1054,jehu,59,0
1055,tyre,59,0
1056,bashan,59,0
1057,officers,59,0
1058,elisha,59,0
1059,heareth,59,0
1060,swear,59,0
1061,raise,59,0
1062,held,58,0
1063,since,58,0
1064,treasures,58,0
1065,sojourner,58,0
1066,shadow,58,0
1067,almighty,58,0
1068,nought,58,0
1069,forgive,58,0
1070,remain,58,0
1071,evening,58,0
1072,knowing,58,0
1073,mordecai,58,0
1074,hated,58,0
1075,yoke,57,0
1076,pride,57,0
1077,asses,57,0
1078,fifth,57,0
1079,nakedness,57,0
1080,job,57,0
1081,remembered,57,0
1082,persons,57,0
1083,months,57,0
1084,graven,57,0
1085,prayed,57,0
1086,apostles,57,0
1087,likewise,57,0
1088,reward,56,0
1089,lying,56,0
1090,forget,56,0
1091,baptized,56,0
1092,thought,56,0
1093,noah,56,0
1094,slaughter,56,0
1095,ran,56,0
1096,terrible,56,0
1097,pilate,56,0
1098,iniquities,56,0
1099,sorrow,56,0
1100,afar,56,0
1101,escaped,56,0
1102,appearance,56,0
1103,dominion,56,0
1104,afflicted,56,0
1105,honey,56,0
1106,order,56,0
1107,horsemen,56,0
1108,too,55,1
1109,josiah,55,0
1110,chariot,55,0
1111,home,55,0
1112,waxed,55,0
1113,redeemed,55,0
1114,moon,55,0
1115,vine,55,0
1116,sanctified,55,0
1117,eateth,55,0
1118,defiled,55,0
1119,habitation,55,0
1120,friend,55,0
1121,comfort,55,0
1122,sockets,55,0
1123,oath,55,0
1124,demons,55,0
1125,mary,54,0
1126,abram,54,0
1127,charged,54,0
1128,beseech,54,0
1129,kingdoms,54,0
1130,isaiah,54,0
1131,beheld,54,0
1132,redeem,54,0
1133,ourselves,54,1
1134,apart,54,0
1135,tables,54,0
1136,morrow,54,0
1137,commit,54,0
1138,buy,54,0
1139,flour,54,0
1140,foundation,54,0
1141,weight,54,0
1142,altars,54,0
1143,goats,54,0
1144,prison,54,0
1145,teacher,54,0
1146,stranger,54,0
1147,stretched,54,0
1148,obey,53,0
1149,hill,53,0
1150,musician,53,0
1151,mourning,53,0
1152,naphtali,53,0
1153,satan,53,0
1154,forward,53,0
1155,savor,53,0
1156,think,53,0
1157,seeth,53,0
1158,ought,53,0
